Target device: xilinx_u200_xdma_201830_2-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
4729.81,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4750.24,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4770.74,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4791.41,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4812.04,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4832.67,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4853.3,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4873.93,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4894.52,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4915.15,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4935.78,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4956.41,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4977.04,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
4997.67,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5018.27,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5038.84,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5059.47,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5080.1,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5100.73,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5121.35,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5141.98,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5162.58,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5183.21,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5203.83,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5224.46,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5245.09,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5265.73,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5286.32,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5306.9,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5327.52,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5348.15,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5368.78,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5389.41,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5410.04,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5430.63,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5451.26,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5471.88,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5492.46,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5513.09,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5533.73,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5554.33,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5574.93,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5595.51,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5616.14,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5636.72,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5657.33,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5677.96,1938,12144,1536,12143,23700,850,0,3363,0,0,0,0,35,36,40,40,43,47,0,43,34,41,0,1054,
5698.58,2602,12195,1630,12143,24048,851,0,3356,0,0,0,0,35,36,40,40,42,47,0,43,34,41,0,1053,
